STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00190736,"BLUE HILL COOP, MA US",5/13/15,0.1,0,0,84,50,57
USC00190736,"BLUE HILL COOP, MA US",5/14/15,0,0,0,67,44,52
USC00190736,"BLUE HILL COOP, MA US",5/15/15,0,0,0,70,51,58
USC00190736,"BLUE HILL COOP, MA US",5/16/15,0,0,0,73,53,57
USC00190736,"BLUE HILL COOP, MA US",5/17/15,0,0,0,68,56,64
USC00190736,"BLUE HILL COOP, MA US",5/18/15,0,0,0,79,48,48
USC00190736,"BLUE HILL COOP, MA US",5/19/15,0.02,0,0,62,48,53
USC00190736,"BLUE HILL COOP, MA US",5/20/15,0.34,0,0,63,50,55
USC00190736,"BLUE HILL COOP, MA US",5/21/15,0,0,0,70,43,48
USC00190736,"BLUE HILL COOP, MA US",5/22/15,0,0,0,66,48,54
USC00190736,"BLUE HILL COOP, MA US",5/23/15,0,0,0,73,40,45
USC00190736,"BLUE HILL COOP, MA US",5/24/15,0,0,0,64,45,58
USC00190736,"BLUE HILL COOP, MA US",5/25/15,0,0,0,81,56,63
USC00190736,"BLUE HILL COOP, MA US",5/26/15,0,0,0,80,61,67
USC00190736,"BLUE HILL COOP, MA US",5/27/15,0,0,0,83,62,67
USC00190736,"BLUE HILL COOP, MA US",5/28/15,0,0,0,82,61,65
USC00190736,"BLUE HILL COOP, MA US",5/29/15,0,0,0,83,58,67
USC00190736,"BLUE HILL COOP, MA US",5/30/15,0,0,0,77,55,62
USC00190736,"BLUE HILL COOP, MA US",5/31/15,0.03,0,0,85,62,68
USC00190736,"BLUE HILL COOP, MA US",6/1/15,0.93,0,0,78,46,47
USC00190736,"BLUE HILL COOP, MA US",6/2/15,1.16,0,0,48,44,45
USC00190736,"BLUE HILL COOP, MA US",6/3/15,0.19,0,0,49,44,49
USC00190736,"BLUE HILL COOP, MA US",6/4/15,0,0,0,59,46,52
USC00190736,"BLUE HILL COOP, MA US",6/5/15,0,0,0,63,48,55
USC00190736,"BLUE HILL COOP, MA US",6/6/15,0.06,0,0,70,51,53
USC00190736,"BLUE HILL COOP, MA US",6/7/15,0,0,0,67,49,57
USC00190736,"BLUE HILL COOP, MA US",6/8/15,0,0,0,73,50,60
USC00190736,"BLUE HILL COOP, MA US",6/9/15,0,0,0,73,60,64
USC00190736,"BLUE HILL COOP, MA US",6/10/15,0.03,0,0,76,57,64
USC00190736,"BLUE HILL COOP, MA US",6/11/15,0,0,0,82,61,67
USC00190736,"BLUE HILL COOP, MA US",6/12/15,0,0,0,85,65,68
USC00190736,"BLUE HILL COOP, MA US",6/13/15,0,0,0,86,68,70
USC00190736,"BLUE HILL COOP, MA US",6/14/15,0,0,0,83,64,67
USC00190736,"BLUE HILL COOP, MA US",6/15/15,0.23,0,0,75,54,54
USC00190736,"BLUE HILL COOP, MA US",6/16/15,0.37,0,0,59,52,58
USC00190736,"BLUE HILL COOP, MA US",6/17/15,0,0,0,73,58,65
USC00190736,"BLUE HILL COOP, MA US",6/18/15,0,0,0,70,54,59
USC00190736,"BLUE HILL COOP, MA US",6/19/15,0,0,0,76,58,64
USC00190736,"BLUE HILL COOP, MA US",6/20/15,0,0,0,84,56,62
USC00190736,"BLUE HILL COOP, MA US",6/21/15,0.93,0,0,75,60,68
USC00190736,"BLUE HILL COOP, MA US",6/22/15,0.26,0,0,76,63,67
USC00190736,"BLUE HILL COOP, MA US",6/23/15,0,0,0,85,67,72
USC00190736,"BLUE HILL COOP, MA US",6/24/15,0.01,0,0,85,62,69
USC00190736,"BLUE HILL COOP, MA US",6/25/15,0,0,0,82,60,68
USC00190736,"BLUE HILL COOP, MA US",6/26/15,0,0,0,80,61,61
USC00190736,"BLUE HILL COOP, MA US",6/27/15,0.01,0,0,72,58,63
USC00190736,"BLUE HILL COOP, MA US",6/28/15,1.06,0,0,73,54,58
USC00190736,"BLUE HILL COOP, MA US",6/29/15,0.45,0,0,59,50,54
USC00190736,"BLUE HILL COOP, MA US",6/30/15,0,0,0,71,53,67
USC00190736,"BLUE HILL COOP, MA US",7/1/15,0.25,0,0,81,63,64
USC00190736,"BLUE HILL COOP, MA US",7/2/15,0.34,0,0,80,60,66
USC00190736,"BLUE HILL COOP, MA US",7/3/15,0,0,0,78,58,65
USC00190736,"BLUE HILL COOP, MA US",7/4/15,0,0,,79,61,65
USC00190736,"BLUE HILL COOP, MA US",7/5/15,0,0,0,74,58,64
USC00190736,"BLUE HILL COOP, MA US",7/6/15,0,0,0,82,64,72
USC00190736,"BLUE HILL COOP, MA US",7/7/15,0,0,,85,65,71
USC00190736,"BLUE HILL COOP, MA US",7/8/15,0.02,0,0,84,70,76
USC00190736,"BLUE HILL COOP, MA US",7/9/15,0,0,0,87,62,64
USC00190736,"BLUE HILL COOP, MA US",7/10/15,2.03,0,0,73,59,60
USC00190736,"BLUE HILL COOP, MA US",7/11/15,0,0,0,80,60,68
